,order_in_document,latitude_longitude,DLS_code,page_number,species,status
935,936,"50.14698659351616 N, 102.8638816690691 W",NE-4-14-7-W2M,62,,
936,937,"50.144574424024015 N, 102.6944580818609 W",SW-6-14-6-W2M,62,,
937,938,"50.12527706808683 N, 102.79576508870437 W",NE-31-13-6-W2M,62,,
938,939,"50.12768923757898 N, 102.7845171782981 W",NW-32-13-6-W2M,62,,
939,940,"50.11321622062609 N, 102.77299542815504 W",NE-26-13-6-W2M,62,,
940,941,"50.11080405113395 N, 102.69396823658477 W",NW-25-13-6-W2M,62,,
941,942,"50.11562839011824 N, 102.55861607791495 W",SW-30-13-5-W2M,62,,
942,943,"50.09150669519676 N, 102.63729128447527 W",SE-20-13-5-W2M,62,,
943,944,"50.08909452570462 N, 102.60342243571841 W",NW-16-13-5-W2M,62,,
944,945,"50.08909452570462 N, 102.59214351168629 W",NE-16-13-5-W2M,62,,
945,946,"50.08668235621247 N, 102.62594877913176 W",NW-15-13-5-W2M,62,,
946,947,"50.08668235621247 N, 102.614670422751 W",NE-15-13-5-W2M,62,,
947,948,"50.084270186720325 N, 102.64847285637424 W",NW-14-13-5-W2M,62,,
948,949,"50.084270186720325 N, 102.63719506756773 W",NE-14-13-5-W2M,62,,
949,950,"50.08185801722818 N, 102.55822245481401 W",NW-13-13-5-W2M,62,,
950,951,"50.08185801722818 N, 102.54694523350464 W",NE-13-13-5-W2M,62,,
951,952,"50.093918864688916 N, 102.42300223373547 W",NW-18-13-4-W2M,62,,
952,953,"50.093918864688916 N, 102.4117221741692 W",NE-18-13-4-W2M,62,,
953,954,"50.08185801722818 N, 102.45672746302965 W",SE-16-13-4-W2M,62,,
954,955,"50.079445847736025 N, 102.49053444418611 W",SW-15-13-4-W2M,62,,
955,956,"50.07703367824388 N, 102.44540541858201 W",NW-11-13-4-W2M,62,,
956,957,"50.079445847736025 N, 102.4228745208501 W",NW-12-13-4-W2M,62,,
957,958,"50.079445847736025 N, 102.41159786696076 W",NE-12-13-4-W2M,62,,
958,959,"50.07220933925959 N, 102.41153575134562 W",SE-12-13-4-W2M,62,,
959,960,"50.06014849179885 N, 102.40016016425119 W",SW-7-13-3-W2M,62,,
960,961,"50.06014849179885 N, 102.3325274604341 W",NW-4-13-3-W2M,62,,
961,962,"50.0577363223067 N, 102.35505384314598 W",NW-3-13-3-W2M,62,,
962,963,"50.05049981383026 N, 102.34373045115082 W",SE-3-13-3-W2M,62,,
963,964,"50.04808764433811 N, 102.37752102868552 W",SW-2-13-3-W2M,62,,
964,965,"50.04808764433811 N, 102.36625174424714 W",SE-2-13-3-W2M,62,,
965,966,"50.04808764433811 N, 102.2986360376169 W",NE-35-12-3-W2M,62,,
966,967,"50.03843896636952 N, 102.2535079394513 W",NE-31-12-2-W2M,62,,
967,968,"50.03602679687737 N, 102.21969584318231 W",SW-33-12-2-W2M,62,,
968,969,"50.03602679687737 N, 102.20842938968579 W",SE-33-12-2-W2M,62,,
969,970,"50.03120245789308 N, 102.18587780735284 W",NE-28-12-2-W2M,63,,
970,971,"50.03843896636952 N, 102.19717284179545 W",SW-34-12-2-W2M,63,,
971,972,"50.02879028840093 N, 102.21966273914478 W",NW-27-12-2-W2M,63,,
972,973,"50.03843896636952 N, 102.18590582226429 W",SE-34-12-2-W2M,63,,
973,974,"50.02879028840093 N, 102.2083979832912 W",NE-27-12-2-W2M,63,,
974,975,"50.02155377992449 N, 102.20836658968325 W",SE-27-12-2-W2M,63,,
975,976,"50.01914161043234 N, 102.24214360820176 W",SW-26-12-2-W2M,63,,
976,977,"50.01672944094019 N, 102.15203602778955 W",SW-25-12-2-W2M,63,,
977,978,"50.02155377992449 N, 102.15205129517426 W",NW-24-12-2-W2M,63,,
978,979,"50.02155377992449 N, 102.14078823627247 W",NE-24-12-2-W2M,63,,
979,980,"50.00949293246375 N, 102.1294926701133 W",NW-19-12-1-W2M,63,,
980,981,"50.00466859347945 N, 102.1069614693179 W",SW-20-12-1-W2M,63,,
981,982,"50.00466859347945 N, 102.03940685711711 W",NW-17-12-1-W2M,63,,
982,983,"50.00466859347945 N, 102.02814775508365 W",NE-17-12-1-W2M,63,,
983,984,"50.002256423987305 N, 102.06192195390321 W",NW-16-12-1-W2M,63,,
984,985,"49.99019557652657 N, 102.03939499697695 W",NW-11-12-1-W2M,63,,
985,986,"49.99019557652657 N, 102.02813928355496 W",NE-11-12-1-W2M,63,,
986,987,"49.99260774601872 N, 102.01688441699855 W",NW-12-12-1-W2M,63,,
987,988,"49.985371237542275 N, 102.01688187674641 W",SW-12-12-1-W2M,63,,
988,989,"49.985371237542275 N, 102.0056272922488 W",SE-12-12-1-W2M,63,,
989,990,"49.95883737312865 N, 101.91787302057035 W",SE-1-12-34-WPM,63,,
990,991,"49.95160086465221 N, 101.90595613025515 W",NW-31-11-33-WPM,63,,
991,992,"49.95160086465221 N, 101.89470943966032 W",NE-31-11-33-WPM,63,,
992,993,"49.94918869516006 N, 101.86074884491781 W",SW-33-11-33-WPM,63,,
993,994,"49.93230350871503 N, 101.88169039389997 W",SW-26-11-33-WPM,63,,
994,995,"49.93230350871503 N, 101.80299508829057 W",NE-23-11-33-WPM,63,,
995,996,"49.934715678207176 N, 101.79196983914841 W",NW-24-11-33-WPM,63,,
996,997,"49.934715678207176 N, 101.78072708988991 W",NE-24-11-33-WPM,63,,
997,998,"49.92747916973073 N, 101.78007805395438 W",SE-24-11-33-WPM,63,,
998,999,"49.917830491762146 N, 101.66682496643129 W",NE-17-11-32-WPM,63,,
999,1000,"49.9105939832857 N, 101.66619340978768 W",SE-17-11-32-WPM,63,,
1000,1001,"49.90094530531711 N, 101.69905636679505 W",NW-10-11-32-WPM,64,,
1001,1002,"49.87682361039563 N, 101.65202027181671 W",NW-36-10-32-WPM,64,,
1002,1003,"49.87682361039563 N, 101.6407910073674 W",NE-36-10-32-WPM,64,,
1003,1004,"49.8599384239506 N, 101.60565299274104 W",SW-32-10-31-WPM,64,,
1004,1005,"49.8599384239506 N, 101.59442765311252 W",SE-32-10-31-WPM,64,,
1005,1006,"49.8599384239506 N, 101.52707561534135 W",NE-29-10-31-WPM,64,,
1006,1007,"49.857526254458456 N, 101.54932203420788 W",NE-28-10-31-WPM,64,,
1007,1008,"49.847877576489864 N, 101.51483765365418 W",NW-24-10-31-WPM,64,,
1008,1009,"49.84064106801342 N, 101.5142304092239 W",SW-24-10-31-WPM,64,,
1009,1010,"49.84064106801342 N, 101.50300955055384 W",SE-24-10-31-WPM,64,,
1010,1011,"49.82858022055268 N, 101.49078276169762 W",SW-19-10-30-WPM,64,,
1011,1012,"49.830992390044834 N, 101.40123493322763 W",NW-17-10-30-WPM,64,,
1012,1013,"49.81651937309194 N, 101.40005539738684 W",NW-11-10-30-WPM,64,,
1013,1014,"49.809282864615504 N, 101.39946598833924 W",SW-11-10-30-WPM,64,,
1014,1015,"49.809282864615504 N, 101.38825240089021 W",SE-11-10-30-WPM,64,,
1015,1016,"49.81169503410765 N, 101.37723413881123 W",SW-12-10-30-WPM,64,,
1016,1017,"49.81169503410765 N, 101.36601999249132 W",SE-12-10-30-WPM,64,,
1017,1018,"49.79239767817047 N, 100.01930130150228 W",NE-1-10-20-WPM,64,,
1018,1019,"49.79239767817047 N, 101.28599485541808 W",SW-4-10-29-WPM,64,,
1019,1020,"49.78033683070973 N, 101.25142121212868 W",SE-35-9-29-WPM,64,,
1020,1021,"49.75621513578826 N, 101.22713128163778 W",SE-25-9-29-WPM,64,,
1021,1022,"49.748978627311814 N, 101.21536928861211 W",NW-19-9-28-WPM,64,,
1022,1023,"49.7176204239139 N, 100.69809160520666 W",NW-6-9-25-WPM,64,,
1023,1024,"49.7176204239139 N, 100.68689919897105 W",NE-6-9-25-WPM,64,,
1024,1025,"49.715208254421746 N, 100.72031436312919 W",NW-5-9-25-WPM,64,,
1025,1026,"49.715208254421746 N, 100.70912251282687 W",NE-5-9-25-WPM,64,,
1026,1027,"49.7127960849296 N, 100.74253491934851 W",NW-4-9-25-WPM,64,,
1027,1028,"49.7127960849296 N, 100.7313436249044 W",NE-4-9-25-WPM,65,,
1028,1029,"49.710383915437454 N, 100.76475327431108 W",NW-3-9-25-WPM,65,,
1029,1030,"49.710383915437454 N, 100.75356253565012 W",NE-3-9-25-WPM,65,,
1030,1031,"49.70797174594531 N, 100.78696942846325 W",NW-2-9-25-WPM,65,,
1031,1032,"49.70797174594531 N, 100.77577924551044 W",NE-2-9-25-WPM,65,,
1032,1033,"49.70555957645316 N, 100.69728710905426 W",NW-1-9-25-WPM,65,,
1033,1034,"49.70555957645316 N, 100.68609748173456 W",NE-1-9-25-WPM,65,,
1034,1035,"49.7176204239139 N, 100.56378273037943 W",NW-6-9-24-WPM,65,,
1035,1036,"49.7176204239139 N, 100.55259032414384 W",NE-6-9-24-WPM,65,,
1036,1037,"49.715208254421746 N, 100.58601215950124 W",NW-5-9-24-WPM,65,,
1037,1038,"49.68385005102383 N, 100.52807093373707 W",SE-31-8-23-WPM,65,,
1038,1039,"49.68626222051598 N, 100.51703808489893 W",SW-32-8-23-WPM,65,,
1039,1040,"49.67902571203953 N, 100.51658280286952 W",NW-26-8-23-WPM,65,,
1040,1041,"49.688674390008124 N, 100.29347508679464 W",NW-30-8-22-WPM,65,,
1041,1042,"49.681437881531686 N, 100.2930530408312 W",SW-30-8-22-WPM,65,,
1042,1043,"49.67902571203953 N, 100.30409591711259 W",SE-29-8-22-WPM,65,,
1043,1044,"49.676613542547386 N, 100.33750363404194 W",SW-28-8-22-WPM,65,,
1044,1045,"49.666964864578794 N, 100.35929394558976 W",NW-21-8-22-WPM,65,,
1045,1046,"49.666964864578794 N, 100.3481131982079 W",NE-21-8-22-WPM,65,,
1046,1047,"49.66937703407095 N, 100.33707521773137 W",NW-22-8-22-WPM,65,,
1047,1048,"49.65731618661021 N, 100.16868361990235 W",NE-17-8-21-WPM,65,,
1048,1049,"49.65490401711806 N, 100.1909052128363 W",NE-16-8-21-WPM,65,,
1049,1050,"49.64766750864162 N, 100.19049891890805 W",SE-16-8-21-WPM,65,,
1050,1051,"49.64525533914947 N, 100.22389080663194 W",SW-15-8-21-WPM,65,,
1051,1052,"49.64284316965732 N, 100.24610418334395 W",SW-14-8-21-WPM,65,,
1052,1053,"49.62354581372014 N, 100.07743798900432 W",NE-3-8-20-WPM,65,,
1053,1054,"49.621133644227996 N, 100.11081898879063 W",NW-2-8-20-WPM,65,,
1054,1055,"49.621133644227996 N, 100.0996487614694 W",NE-2-8-20-WPM,65,,
1055,1056,"49.62354581372014 N, 99.87636394294002 W",SE-6-8-19-WPM,65,,
1056,1057,"49.621133644227996 N, 99.89858466968737 W",SE-5-8-19-WPM,65,,
1057,1058,"49.60907279676726 N, 99.94265059777408 W",NE-33-7-19-WPM,65,,
1058,1059,"49.611484966259404 N, 99.93160554485316 W",NW-34-7-19-WPM,65,,
1059,1060,"49.611484966259404 N, 99.9204375288493 W",NE-34-7-19-WPM,65,,
1060,1061,"49.61389713575155 N, 99.90939083435114 W",NW-35-7-19-WPM,65,,
1061,1062,"49.60907279676726 N, 99.88681328097016 W",SW-36-7-19-WPM,65,,
1062,1063,"49.59701194930652 N, 99.85271842079048 W",SE-31-7-18-WPM,65,,
1063,1064,"49.599424118798666 N, 99.8416716293401 W",SW-32-7-18-WPM,65,,
1064,1065,"49.582538932353636 N, 99.75155548061292 W",SW-25-7-18-WPM,65,,
1065,1066,"49.58012676286148 N, 99.67331623381233 W",NE-21-7-17-WPM,65,,
1066,1067,"49.572890254385044 N, 99.67298775512558 W",SE-21-7-17-WPM,66,,
1067,1068,"49.56324157641645 N, 99.694863944538 W",NE-14-7-17-WPM,66,,
1068,1069,"49.560829406924306 N, 99.61665845492067 W",NW-13-7-17-WPM,66,,
1069,1070,"49.56806591540075 N, 99.51655572567468 W",NE-16-7-16-WPM,66,,
1070,1071,"49.55359289844786 N, 99.48248131788606 W",SW-13-7-16-WPM,66,,
1071,1072,"49.55359289844786 N, 99.47132654478474 W",SE-13-7-16-WPM,66,,
1072,1073,"49.52705903403424 N, 99.30300278415581 W",SW-2-7-14-WPM,66,,
1073,1074,"49.529471203526384 N, 99.21389968589523 W",NW-36-6-14-WPM,66,,
1074,1075,"49.51017384758921 N, 99.17977225680745 W",SE-31-6-13-WPM,66,,
1075,1076,"49.512586017081354 N, 99.16871175141416 W",SW-32-6-13-WPM,66,,
1076,1077,"49.512586017081354 N, 99.10183923995824 W",NW-29-6-13-WPM,66,,
1077,1078,"49.512586017081354 N, 99.09069382138225 W",NE-29-6-13-WPM,66,,
1078,1079,"49.51017384758921 N, 99.12404791192695 W",NW-28-6-13-WPM,66,,
1079,1080,"49.51017384758921 N, 99.11290304295085 W",NE-28-6-13-WPM,66,,
1080,1081,"49.50293733911276 N, 99.11265826208466 W",SE-28-6-13-WPM,66,,
1081,1082,"49.500525169620616 N, 99.14600470436537 W",SW-27-6-13-WPM,66,,
1082,1083,"49.48605215266773 N, 98.93385745812805 W",NE-18-6-12-WPM,66,,
1083,1084,"49.473991305206994 N, 98.98917715366757 W",SW-16-6-12-WPM,66,,
1084,1085,"49.473991305206994 N, 98.97804051982271 W",SE-16-6-12-WPM,66,,
1085,1086,"49.461930457746256 N, 98.96653243256027 W",SW-11-6-12-WPM,66,,
1086,1087,"49.44986961028552 N, 98.79919393408584 W",SE-6-6-11-WPM,66,,
1087,1088,"49.430572254348334 N, 98.90993395350972 W",NE-31-5-11-WPM,66,,
1088,1089,"49.43298442384049 N, 98.89887803794855 W",NW-32-5-11-WPM,66,,
1089,1090,"49.43298442384049 N, 98.88775071719219 W",NE-32-5-11-WPM,66,,
1090,1091,"49.39438971196613 N, 98.78655970206894 W",SW-19-5-10-WPM,66,,
1091,1092,"49.35097066110747 N, 98.66319027308124 W",SE-1-5-10-WPM,66,,
1092,1093,"49.363031508568206 N, 98.541259567271 W",SW-6-5-9-WPM,66,,
1093,1094,"49.341321983138876 N, 98.60742103228523 W",SW-33-4-9-WPM,66,,
1094,1095,"49.341321983138876 N, 98.59631445226316 W",SE-33-4-9-WPM,66,,
1095,1096,"49.33649764415458 N, 98.5739918789558 W",NE-28-4-9-WPM,66,,
1096,1097,"49.324436796693846 N, 98.55151293244572 W",NE-23-4-9-WPM,66,,
1097,1098,"49.307551610248815 N, 98.51784118891527 W",SW-19-4-8-WPM,67,,
1098,1099,"49.31237594923311 N, 98.54014509602105 W",NW-18-4-9-WPM,67,,
1099,1100,"49.29066642380378 N, 98.47309744572797 W",NW-9-4-8-WPM,67,,
1100,1101,"49.27378123735875 N, 98.48384125514123 W",NE-2-4-8-WPM,67,,
1101,1102,"49.2713690678666 N, 98.40615533057408 W",NW-1-4-8-WPM,67,,
1102,1103,"49.26172038989801 N, 98.339437988554 W",NW-33-3-7-WPM,67,,
1103,1104,"49.25689605091372 N, 98.30608910975093 W",SE-34-3-7-WPM,67,,
1104,1105,"49.247247372945125 N, 98.328094148802 W",NE-27-3-7-WPM,67,,
1105,1106,"49.254483881421564 N, 98.13974223614795 W",NW-30-3-6-WPM,67,,
1106,1107,"49.242423033960826 N, 98.18391297038644 W",SW-28-3-6-WPM,67,,
1107,1108,"49.254483881421564 N, 98.00669789738738 W",NW-30-3-5-WPM,67,,
1108,1109,"49.186943135641435 N, 98.08345157954767 W",NE-2-3-5-WPM,67,,
1109,1110,"49.17970662716499 N, 98.08336010727805 W",SE-2-3-5-WPM,67,,
1110,1111,"49.15076059325922 N, 98.08299458522491 W",SE-26-2-5-WPM,67,,
1111,1112,"49.15317276275137 N, 97.99451032946479 W",NE-24-2-5-WPM,67,,
1112,1113,"49.13628757630634 N, 97.88372183539263 W",NE-17-2-4-WPM,67,,
1113,1114,"49.131463237322045 N, 97.93897784939153 W",NW-15-2-4-WPM,67,,
1114,1115,"49.10734154240057 N, 97.76187811559585 W",NW-5-2-3-WPM,67,,
1115,1116,"49.09045635595553 N, 97.77282506968889 W",NE-34-1-3-WPM,67,,
1116,1117,"49.06874683052621 N, 97.73955086808358 W",NW-25-1-3-WPM,67,,
1117,1118,"49.05427381357332 N, 97.70634193166313 W",NE-19-1-2-WPM,67,,
1118,1119,"49.05668598306547 N, 97.69531114433074 W",NW-20-1-2-WPM,67,,
1119,1120,"49.05668598306547 N, 97.68426830040839 W",NE-20-1-2-WPM,67,,
1120,1121,"49.04462513560473 N, 97.66213305982099 W",NE-15-1-2-WPM,67,,
1121,1122,"49.03738862712829 N, 97.59587198922637 W",NE-12-1-2-WPM,67,,
1122,1123,"51.3361861531449 N, 106.94401886089118 W",SW-32-27-7-W3M,69,,
1123,1124,"50.926117339479816 N, 105.93212386222845 W",NE-3-23-29-W2M,69,,
1124,1125,"49.512586017081354 N, 99.16871175141416 W",SW-32-6-13-WPM,70,,
1125,1126,"51.07808401748511 N, 102.15549733621704 W",NW-30-24-2-W2M,70,,
1126,1127,"50.64148133940641 N, 105.17795662805551 W",NE-29-19-24-W2M,71,,
1127,1128,"50.93335384795626 N, 105.93273566227272 W",SE-9-23-29-W2M,71,,
1128,1129,"50.084270186720325 N, 102.64847285637424 W",NW-14-13-5-W2M,72,,
1129,1130,"49.71400216967567 N, 100.6922544131504 W",6-9-25-WPM,72,,
1130,1131,"51.32653747517631 N, 106.88591714575202 W",SE-28-27-7-W3M,73,,
1131,1132,"51.95611371262682 N, 109.25855191308105 W",SW-1-35-24-W3M,73,,
1132,1133,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,74,,
1133,1134,"51.09014486494585 N, 106.30531510608684 W",NE-35-24-3-W3M,74,,
1134,1135,"52.43372327207204 N, 110.69435872459532 W",SE-19-40-5-W4M,75,,
1135,1136,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,75,,
1136,1137,"52.34206083137043 N, 110.32573086759912 W",SW-17-39-3-W4M,76,,
1137,1138,"52.41925025511915 N, 110.6229378861207 W",NE-10-40-5-W4M,76,,
1138,1139,"51.80897137360582 N, 109.30642426394948 W",NE-9-33-24-W3M,90,,
1139,1140,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,90,,
1140,1141,"51.95370154313468 N, 109.25837661226491 W",SW-36-34-24-W3M,90,,
1141,1142,"51.8789242888781 N, 108.99506259621168 W",SW-5-34-22-W3M,90,,
1142,1143,"51.87651211938595 N, 109.01834537607819 W",SW-4-34-22-W3M,90,,
1143,1144,"51.09014486494585 N, 106.31683643084483 W",NW-35-24-3-W3M,90,,
1144,1145,"51.053962322563635 N, 106.24751488673228 W",NW-20-24-2-W3M,90,,
1145,1146,"51.96214413635719 N, 109.34707109111696 W",2-35-24-W3M,92,,
1146,1147,"51.95852588211897 N, 109.34092936707644 W",SE-2-35-24-W3M,92,,
1147,1148,"51.96335022110326 N, 109.0241894615198 W",SW-4-35-22-W3M,92,,
1148,1149,"51.092557034438 N, 106.35141873441717 W",SE-3-25-3-W3M,92,,
1149,1150,"51.09014486494585 N, 106.31683643084483 W",NW-35-24-3-W3M,92,,
1150,1151,"51.046725814087196 N, 106.23596569410194 W",SE-20-24-2-W3M,92,,
1151,1152,"51.982647577040446 N, 109.31922926999187 W",NE-9-35-24-W3M,93,,
1152,1153,"51.97782323805615 N, 109.30712360514401 W",SW-10-35-24-W3M,93,,
1153,1154,"51.95852588211897 N, 109.28221356097669 W",NW-35-34-24-W3M,93,,
1154,1155,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,93,,
1155,1156,"51.95370154313468 N, 109.25837661226491 W",SW-36-34-24-W3M,93,,
1156,1157,"51.95611371262682 N, 109.25855191308105 W",SW-1-35-24-W3M,93,,
1157,1158,"51.96817456008756 N, 109.3181572334575 W",NE-3-35-24-W3M,93,,
1158,1159,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,93,,
1159,1160,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,94,,
1160,1161,"51.08290835646941 N, 106.30526734293115 W",SE-35-24-3-W3M,95,,
1161,1162,"51.07084750900867 N, 106.15547302085993 W",SW-30-24-2-W3M,95,,
1162,1163,"51.053962322563635 N, 106.24751488673228 W",NW-20-24-2-W3M,95,,
1163,1164,"51.085320525961556 N, 106.29376313869533 W",SW-36-24-3-W3M,95,,
1164,1165,"51.07808401748511 N, 102.15549733621704 W",NW-30-24-2-W2M,95,,
1165,1166,"51.085320525961556 N, 106.29376313869533 W",SW-36-24-3-W3M,95,,
1166,1167,"51.06602317002438 N, 106.29364065286687 W",NW-25-24-3-W3M,95,,
1167,1168,"51.06602317002438 N, 106.28212533314661 W",NE-25-24-3-W3M,95,,
1168,1169,"51.07084750900867 N, 106.15547302085993 W",SW-30-24-2-W3M,95,,
1169,1170,"51.07084750900867 N, 106.14395650079624 W",SE-30-24-2-W3M,95,,
1170,1171,"51.053962322563635 N, 106.24751488673228 W",NW-20-24-2-W3M,95,,
1171,1172,"51.085320525961556 N, 102.29376313869533 W",SW-36-24-3-W2M,95,,
1172,1173,"51.982647577040446 N, 109.31922926999187 W",NE-9-35-24-W3M,96,,
1173,1174,"51.975411068564 N, 109.31869313868 W",SE-9-35-24-W3M,96,,
1174,1175,"51.97782323805615 N, 109.30712360514401 W",SW-10-35-24-W3M,96,,
1175,1176,"51.97782323805615 N, 109.29537538629803 W",SE-10-35-24-W3M,96,,
1176,1177,"51.965762390595415 N, 109.3532138200931 W",NW-2-35-24-W3M,96,,
1177,1178,"51.95852588211897 N, 109.34092936707644 W",SE-2-35-24-W3M,96,,
1178,1179,"51.95611371262682 N, 109.25855191308105 W",SW-1-35-24-W3M,96,,
1179,1180,"51.95852588211897 N, 109.28221356097669 W",NW-35-34-24-W3M,96,,
1180,1181,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,96,,
1181,1182,"51.95370154313468 N, 109.25837661226491 W",SW-36-34-24-W3M,96,,
1182,1183,"51.085320525961556 N, 106.29376313869533 W",SW-36-24-3-W3M,96,,
1183,1184,"51.07808401748511 N, 106.15549733621704 W",NW-30-24-2-W3M,96,,
1184,1185,"51.07084750900867 N, 106.15547302085993 W",SW-30-24-2-W3M,96,,
1185,1186,"51.07084750900867 N, 106.14395650079624 W",SE-30-24-2-W3M,96,,
1186,1187,"51.07808401748511 N, 106.15549733621704 W",NW-30-24-2-W3M,96,,
1187,1188,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,96,,
1188,1189,"51.07808401748511 N, 106.15549733621704 W",NW-30-24-2-W3M,96,,
1189,1190,"51.965762390595415 N, 109.3532138200931 W",NW-2-35-24-W3M,96,,
1190,1191,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,96,,
1191,1192,"51.87651211938595 N, 109.01834537607819 W",SW-4-34-22-W3M,96,,
1192,1193,"51.09014486494585 N, 106.30531510608684 W",NE-35-24-3-W3M,96,,
1193,1194,"51.982647577040446 N, 109.31922926999187 W",NE-9-35-24-W3M,96,,
1194,1195,"51.975411068564 N, 109.31869313868 W",SE-9-35-24-W3M,96,,
1195,1196,"51.97782323805615 N, 109.30712360514401 W",SW-10-35-24-W3M,96,,
1196,1197,"51.97782323805615 N, 109.29537538629803 W",SE-10-35-24-W3M,96,,
1197,1198,"51.96817456008756 N, 109.3181572334575 W",NE-3-35-24-W3M,96,,
1198,1199,"51.965762390595415 N, 109.3532138200931 W",NW-2-35-24-W3M,96,,
1199,1200,"51.95852588211897 N, 109.3526725282964 W",SW-2-35-24-W3M,96,,
1200,1201,"51.95852588211897 N, 109.34092936707644 W",SE-2-35-24-W3M,96,,
1201,1202,"51.95611371262682 N, 109.25855191308105 W",SW-1-35-24-W3M,96,,
1202,1203,"51.95852588211897 N, 109.28221356097669 W",NW-35-34-24-W3M,96,,
1203,1204,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,96,,
1204,1205,"51.95370154313468 N, 109.25837661226491 W",SW-36-34-24-W3M,96,,
1205,1206,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,96,,
1206,1207,"51.87651211938595 N, 109.01834537607819 W",SW-4-34-22-W3M,96,,
1207,1208,"51.09014486494585 N, 106.30531510608684 W",NE-35-24-3-W3M,96,,
1208,1209,"51.08290835646941 N, 106.30526734293115 W",SE-35-24-3-W3M,96,,
1209,1210,"51.085320525961556 N, 106.29376313869533 W",SW-36-24-3-W3M,96,,
1210,1211,"51.06602317002438 N, 106.28212533314661 W",NE-25-24-3-W3M,96,,
1211,1212,"51.07084750900867 N, 106.15547302085993 W",SW-30-24-2-W3M,96,,
1212,1213,"51.07084750900867 N, 106.14395650079624 W",SE-30-24-2-W3M,96,,
1213,1214,"51.05155015307149 N, 106.25901371530894 W",NE-19-24-2-W3M,96,,
1214,1215,"51.053962322563635 N, 106.24751488673228 W",NW-20-24-2-W3M,96,,
1215,1216,"51.982647577040446 N, 109.31922926999187 W",NE-9-35-24-W3M,97,,
1216,1217,"51.975411068564 N, 109.31869313868 W",SE-9-35-24-W3M,97,,
1217,1218,"51.97782323805615 N, 109.30712360514401 W",SW-10-35-24-W3M,97,,
1218,1219,"51.97782323805615 N, 109.29537538629803 W",SE-10-35-24-W3M,97,,
1219,1220,"51.96817456008756 N, 109.3181572334575 W",NE-3-35-24-W3M,97,,
1220,1221,"51.965762390595415 N, 109.3532138200931 W",NW-2-35-24-W3M,97,,
1221,1222,"51.95852588211897 N, 109.3526725282964 W",SW-2-35-24-W3M,97,,
1222,1223,"51.95852588211897 N, 109.34092936707644 W",SE-2-35-24-W3M,97,,
1223,1224,"51.95611371262682 N, 109.25855191308105 W",SW-1-35-24-W3M,97,,
1224,1225,"51.95852588211897 N, 109.28221356097669 W",NW-35-34-24-W3M,98,,
1225,1226,"51.95852588211897 N, 109.27047039975673 W",NE-35-34-24-W3M,98,,
1226,1227,"51.8789242888781 N, 108.98334023771379 W",SE-5-34-22-W3M,98,,
1227,1228,"51.87651211938595 N, 109.01834537607819 W",SW-4-34-22-W3M,98,,
1228,1229,"51.09014486494585 N, 106.30531510608684 W",NE-35-24-3-W3M,98,,
1229,1230,"51.08290835646941 N, 106.30526734293115 W",SE-35-24-3-W3M,98,,
1230,1231,"51.085320525961556 N, 106.29376313869533 W",SW-36-24-3-W3M,98,,
1231,1232,"51.06602317002438 N, 106.29364065286687 W",NW-25-24-3-W3M,98,,
1232,1233,"51.06602317002438 N, 106.28212533314661 W",NE-25-24-3-W3M,98,,
1233,1234,"51.07808401748511 N, 106.15549733621704 W",NW-30-24-2-W3M,98,,
1234,1235,"51.07084750900867 N, 106.15547302085993 W",SW-30-24-2-W3M,98,,
1235,1236,"51.07084750900867 N, 106.14395650079624 W",SE-30-24-2-W3M,98,,
1236,1237,"51.05155015307149 N, 106.25901371530894 W",NE-19-24-2-W3M,98,,
